shipment_id,origin_city,origin_state,origin_latitude,origin_longitude,destination_city,destination_state,destination_latitude,destination_longitude,distance_miles,estimated_travel_time_hours,weight_lbs,volume_cu_ft,driver_id,fuel_cost_usd,toll_cost_usd
SHP00001,Indianapolis,IN,39.768402,-86.158068,Raleigh,NC,35.779589,-78.638179,535.36,12.05,11833,1516,DRV174,371.77,42.72
SHP00002,Phoenix,AZ,33.448376,-112.074037,Nashville,TN,36.162664,-86.781601,1438.06,33.49,37313,3315,DRV021,956.55,44.25
SHP00003,Indianapolis,IN,39.768402,-86.158068,Dallas,TX,32.776664,-96.796988,757.58,15.35,17760,670,DRV192,497.78,0.74
SHP00004,Columbus,OH,39.961176,-82.998794,Washington,DC,38.907192,-77.036871,335.88,7.02,29183,3614,DRV018,230.05,10.2
SHP00005,Atlanta,GA,33.748995,-84.387982,Oklahoma City,OK,35.46756,-97.516428,784.67,18.33,39291,3921,DRV097,569.08,19.41
SHP00006,Philadelphia,PA,39.952583,-75.165222,Salt Lake City,UT,40.760779,-111.891047,1978.56,44.43,26449,636,DRV077,1290.79,27.79
SHP00007,Boston,MA,42.360082,-71.05888,Indianapolis,IN,39.768402,-86.158068,904.37,20.92,30980,545,DRV029,570.32,5.84
SHP00008,Boston,MA,42.360082,-71.05888,Denver,CO,39.739235,-104.990251,1871.7,39.5,58321,2123,DRV033,1250.3,0.26
SHP00009,Fort Worth,TX,32.755489,-97.330766,Oklahoma City,OK,35.46756,-97.516428,200.51,4.59,51191,635,DRV197,154.38,14.77
SHP00010,Houston,TX,29.760427,-95.369803,Austin,TX,30.267153,-97.743061,152.42,3.43,67131,755,DRV036,104.6,48.92
SHP00011,San Jose,CA,37.338208,-121.886329,Charlotte,NC,35.227085,-80.843124,2203.46,45.27,32497,3495,DRV030,1417.69,2.15
SHP00012,Fort Worth,TX,32.755489,-97.330766,Denver,CO,39.739235,-104.990251,630.19,14.68,3499,1476,DRV176,436.34,34.1
SHP00013,Indianapolis,IN,39.768402,-86.158068,Colorado Springs,CO,38.833882,-104.821363,982.53,20.19,9407,261,DRV111,696,20.01
SHP00014,Jacksonville,FL,30.332184,-81.655651,Orlando,FL,28.538336,-81.379234,138.84,3.01,53979,1097,DRV102,102.21,12.75
SHP00015,Albuquerque,NM,35.084385,-106.650422,Omaha,NE,41.256537,-95.997988,812.49,18.97,3540,937,DRV093,538.28,27.36
SHP00016,Colorado Springs,CO,38.833882,-104.821363,Chicago,IL,41.878113,-87.629799,1044,24.07,8827,1119,DRV161,728.57,15.14
SHP00017,Los Angeles,CA,34.052235,-118.243683,Louisville,KY,38.252665,-85.758456,1913.11,40.9,65825,788,DRV118,1228.31,31.62
SHP00018,Miami,FL,25.761681,-80.191788,Nashville,TN,36.162664,-86.781601,872.02,19.56,2955,888,DRV075,571.39,44.17
SHP00019,San Jose,CA,37.338208,-121.886329,Memphis,TN,35.149534,-90.04898,1844.07,43.52,5377,616,DRV050,1201.05,23.23
SHP00020,Miami,FL,25.761681,-80.191788,Charlotte,NC,35.227085,-80.843124,641.08,14.67,23790,1414,DRV016,448.06,19.8
SHP00021,Charlotte,NC,35.227085,-80.843124,Seattle,WA,47.606209,-122.332071,2201.75,47.3,73615,3490,DRV069,1397.18,36.22
SHP00022,Sacramento,CA,38.581572,-121.4944,Indianapolis,IN,39.768402,-86.158068,1960.54,39.45,26500,1600,DRV079,1366.8,23.85
SHP00023,Oklahoma City,OK,35.46756,-97.516428,Long Beach,CA,33.77005,-118.193739,1317.53,28.41,43070,1153,DRV107,979.83,30.89
SHP00024,Phoenix,AZ,33.448376,-112.074037,Sacramento,CA,38.581572,-121.4944,635.16,13.4,66573,518,DRV158,484.77,2.34
SHP00025,San Diego,CA,32.715736,-117.161087,Raleigh,NC,35.779589,-78.638179,2435.92,55.71,9211,210,DRV150,1568.1,39.54
SHP00026,Nashville,TN,36.162664,-86.781601,Long Beach,CA,33.77005,-118.193739,1989.73,42.05,6498,2491,DRV132,1449.97,23.53
SHP00027,Orlando,FL,28.538336,-81.379234,Omaha,NE,41.256537,-95.997988,1280.45,28.77,72925,619,DRV003,961.9,38.5
SHP00028,Philadelphia,PA,39.952583,-75.165222,San Antonio,TX,29.424122,-98.493628,1486.57,32.59,18580,3090,DRV154,1078.06,26
SHP00029,Columbus,OH,39.961176,-82.998794,Austin,TX,30.267153,-97.743061,1137.97,24.06,14475,191,DRV024,857.62,19.95
SHP00030,Virginia Beach,VA,36.852929,-75.977985,Oklahoma City,OK,35.46756,-97.516428,1318.07,27.19,57781,2747,DRV138,855.51,1.42
SHP00031,Memphis,TN,35.149534,-90.04898,Milwaukee,WI,43.038902,-87.906474,624.37,12.53,42531,365,DRV121,458.37,37.31
SHP00032,Nashville,TN,36.162664,-86.781601,Mesa,AZ,33.415184,-111.831472,1564.26,31.81,16111,2535,DRV052,996.39,11.51
SHP00033,Fort Worth,TX,32.755489,-97.330766,Washington,DC,38.907192,-77.036871,1376.91,28.15,9808,1386,DRV030,872.56,45.33
SHP00034,Raleigh,NC,35.779589,-78.638179,Denver,CO,39.739235,-104.990251,1678.32,37.62,50506,1420,DRV042,1184.68,46.31
SHP00035,Raleigh,NC,35.779589,-78.638179,Philadelphia,PA,39.952583,-75.165222,335.52,7.86,74108,221,DRV086,238.84,37.62
SHP00036,Milwaukee,WI,43.038902,-87.906474,Phoenix,AZ,33.448376,-112.074037,1663.56,35.15,62172,1899,DRV179,1118.95,43.04
SHP00037,Austin,TX,30.267153,-97.743061,Sacramento,CA,38.581572,-121.4944,1508.51,31.99,34671,1672,DRV157,1063.5,25.69
SHP00038,Virginia Beach,VA,36.852929,-75.977985,Mesa,AZ,33.415184,-111.831472,2203.74,46.71,18970,2795,DRV091,1525.57,13.05
SHP00039,Louisville,KY,38.252665,-85.758456,Long Beach,CA,33.77005,-118.193739,1792.56,38.42,26696,2623,DRV189,1254,23.49
SHP00040,Milwaukee,WI,43.038902,-87.906474,Jacksonville,FL,30.332184,-81.655651,923.91,19.24,44866,3144,DRV179,635.95,46.35
SHP00041,Charlotte,NC,35.227085,-80.843124,Salt Lake City,UT,40.760779,-111.891047,1926.11,39.5,30183,1437,DRV027,1417.75,21.79
SHP00042,Charlotte,NC,35.227085,-80.843124,Albuquerque,NM,35.084385,-106.650422,1596.83,33.97,32271,2712,DRV156,1108.7,42.07
SHP00043,Orlando,FL,28.538336,-81.379234,San Jose,CA,37.338208,-121.886329,2504.21,52.37,21358,1439,DRV175,1875.73,5.29
SHP00044,San Francisco,CA,37.774929,-122.419416,Denver,CO,39.739235,-104.990251,1072.53,24.47,47374,1617,DRV102,705.6,30.03
SHP00045,Charlotte,NC,35.227085,-80.843124,Virginia Beach,VA,36.852929,-75.977985,308.14,6.21,29136,2610,DRV037,202.01,10.76
SHP00046,Raleigh,NC,35.779589,-78.638179,Oklahoma City,OK,35.46756,-97.516428,1151.92,26.49,15857,1310,DRV085,810.82,41.24
SHP00047,Baltimore,MD,39.290385,-76.612189,Tucson,AZ,32.221743,-110.926479,2077.68,48.82,62936,3166,DRV032,1442.04,28.77
SHP00048,Memphis,TN,35.149534,-90.04898,San Diego,CA,32.715736,-117.161087,1727.26,37.41,66029,3053,DRV023,1091.32,41.18
SHP00049,San Antonio,TX,29.424122,-98.493628,Charlotte,NC,35.227085,-80.843124,1133.81,25.38,63676,3786,DRV085,848.02,34.15
SHP00050,Virginia Beach,VA,36.852929,-75.977985,Memphis,TN,35.149534,-90.04898,801.57,17.7,1482,769,DRV024,532.02,13.79
SHP00051,Indianapolis,IN,39.768402,-86.158068,Chicago,IL,41.878113,-87.629799,164.93,3.5,62230,1763,DRV016,120.74,38.67
SHP00052,Colorado Springs,CO,38.833882,-104.821363,Raleigh,NC,35.779589,-78.638179,1487.93,34.83,6908,918,DRV112,972.79,36.04
SHP00053,El Paso,TX,31.761857,-106.485022,Austin,TX,30.267153,-97.743061,532.85,10.67,27826,2939,DRV165,358.72,13.9
SHP00054,Tucson,AZ,32.221743,-110.926479,Baltimore,MD,39.290385,-76.612189,1990.76,40.21,12266,2509,DRV125,1284.48,0.1
SHP00055,San Francisco,CA,37.774929,-122.419416,Oklahoma City,OK,35.46756,-97.516428,1407.38,30.95,43006,1862,DRV084,906.6,40.81
SHP00056,Atlanta,GA,33.748995,-84.387982,Denver,CO,39.739235,-104.990251,1345.15,29.28,59398,2195,DRV013,1030.86,26
SHP00057,Jacksonville,FL,30.332184,-81.655651,Atlanta,GA,33.748995,-84.387982,313.37,6.36,21535,3950,DRV120,211.63,13.53
